submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label
TCGA-A2-A0CW-01,-0.043103233,0.051865757,0.018499669,-0.066746905,0.35621205,0.059594944,0.014117095,0.06847673,0.11791405,-0.120184876,0.15617752,-0.2742735,0.08761975,-0.08755151,0.09058606,0.62854505,0.072693415,-0.03498859,-0.0002292078,0.0018396452,0.16658293,-0.017067488,0.05987161,0.043952942,-0.048318528,0.08993905,0.026363354,0.1615323,0.0079017505,-0.083742954,-0.12745537,-0.08787319,0
TCGA-A2-A0CX-01,0.07266368,-0.034548104,0.05998021,-0.08920906,-0.010930281,-0.07177745,-0.05757268,0.22589108,-0.08889976,0.07372715,0.0929976,0.0036869901,-0.04668307,-0.006976907,0.03882437,-1.5195489,0.010150656,-0.07795266,0.02477886,0.044423647,0.024057139,0.037189964,-0.027415043,0.08198571,0.097774096,-0.136172,0.07835549,-0.1094217,0.14077371,-0.033941872,0.06741633,-0.09182517,1
TCGA-A2-A0D0-01,-0.03583972,-0.009063659,-0.00899941,-0.033020265,0.025895853,-0.035295352,-0.010819604,0.048924748,0.01932666,-0.013423959,0.07996311,0.04021462,-0.051748153,0.06858095,0.0026582978,0.7111585,-0.020650186,-0.04317736,0.029621841,0.03867597,0.012199391,0.0012942292,-0.050480936,-0.014127849,0.059614964,-0.011168249,0.07254735,-0.020785797,0.15070958,-0.021996148,-0.07860836,-0.008638574,0
TCGA-A2-A0D1-01,0.088335946,0.0036034603,-0.020532135,-0.08333603,-0.0007482581,-0.049514085,-0.071462564,0.21395466,-0.12532356,0.009937992,0.0839574,-0.040559962,0.10443294,-0.04142453,0.10471361,-0.99818945,-0.0085014105,-0.110858925,0.03300488,0.09830887,0.08778302,0.056642476,-0.015657848,0.0718354,0.15197921,-0.085305475,0.16507402,-0.15433456,0.16525768,0.023691885,0.06044089,-0.023781909,1
TCGA-A2-A0D2-01,0.028385907,-0.0072876792,0.027908977,-0.0349463,-0.014852922,-0.0027689785,-0.002968599,0.097278036,-0.058527794,0.02968227,-0.006543115,0.036311425,-0.011400934,-0.004853462,-0.036973964,-1.1945387,0.002730608,0.023708798,-0.03758943,-0.01417058,0.025936771,0.0075501986,-0.0065859016,0.047087073,0.033397265,-0.059727855,0.047373053,-0.039847467,-0.0054430217,-0.033947416,0.0029313918,-0.019537402,1
TCGA-A2-A0D3-01,-0.0067432523,-0.0009695273,0.042682525,-0.03704133,-0.0052062683,0.022383027,-0.06546252,0.12305113,0.04322407,-0.02586306,0.08053024,0.03547576,-0.023422804,0.067318015,-0.015480736,0.69474053,-0.007086791,-0.06201514,0.028064521,0.08485503,-0.012871992,0.03936318,-0.010502851,0.03382182,0.083745666,-0.08336649,0.018593166,-0.005307216,0.19581781,-0.022919424,-0.03498768,0.027653055,0
TCGA-A2-A0D4-01,0.04970905,-0.017282961,0.056421634,-0.08417223,0.018972654,-0.07106839,-0.046625454,0.18875647,-0.090717226,0.08097958,0.10362679,0.009807374,-0.03805625,0.0013706936,0.03627001,-1.5287658,0.015853152,-0.066777445,0.027285809,0.04019589,0.043261874,0.029128004,-0.01696827,0.072508454,0.07615966,-0.083434306,0.099224955,-0.10961646,0.09590103,-0.048814185,0.04671561,-0.09296976,1
TCGA-A2-A0EM-01,-0.019974008,-0.0060084667,-0.029553123,0.02427867,0.017483015,0.005220607,0.02345666,-0.0025122487,0.044042047,-0.03168363,0.021973282,0.0032625939,0.029809238,-0.03458113,-0.009314785,0.77517366,0.060391337,-0.008143209,-0.007847099,-0.009588234,0.0028292201,-0.0010278039,0.021273846,-0.03929781,-0.01451879,0.018295161,-0.014582988,0.009532716,-0.008358404,-0.013109021,-0.072062515,-0.03280688,0
TCGA-A2-A0EN-01,0.023777835,-0.051794954,0.01904947,0.030529879,0.039312426,-0.0027879477,0.011205862,0.01083908,0.042596143,-0.09230522,0.08042204,-0.009526804,0.0696421,-0.024627585,0.024142524,0.73648226,0.11895177,0.0015207753,0.04968497,-0.037645213,0.041695777,0.02434859,0.028143043,-0.08819029,0.007568687,0.034523763,-0.040052656,0.017283287,0.04690446,-0.0030236915,-0.1334776,-0.039364055,0
TCGA-A2-A0EO-01,-0.028734632,0.0076171774,-0.0421432,-0.065605916,0.06351264,0.07121651,-0.071398295,0.100103505,0.06712209,-0.061961956,0.08347368,0.011711985,-0.0057387017,0.04463723,-0.00073219324,0.624415,-0.061769962,-0.11523645,0.1402868,0.07218607,0.014598925,-0.010035951,0.048200738,-0.00038277917,0.115302466,-0.04265105,0.0003377013,0.022534784,0.09140901,-0.0072505698,-0.025525415,-0.073349334,0
